"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 21:48:42 BRT 2024","Tue Apr 02 21:48:42 BRT 2024","187","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Tue Apr 02 21:48:32 BRT 2024","Tue Apr 02 21:48:32 BRT 2024","188","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Tue Apr 02 21:49:30 BRT 2024","Tue Apr 02 21:49:30 BRT 2024","105","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Tue Apr 02 21:49:35 BRT 2024","Tue Apr 02 21:49:36 BRT 2024","1112","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Tue Apr 02 21:49:29 BRT 2024","Tue Apr 02 21:49:29 BRT 2024","141","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
"passed","Tue Apr 02 21:48:42 BRT 2024","Tue Apr 02 21:48:42 BRT 2024","133","Cypress APIs","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Tue Apr 02 21:49:00 BRT 2024","Tue Apr 02 21:49:02 BRT 2024","1850","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Tue Apr 02 21:49:30 BRT 2024","Tue Apr 02 21:49:30 BRT 2024","112","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Tue Apr 02 21:48:22 BRT 2024","Tue Apr 02 21:48:22 BRT 2024","104","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Tue Apr 02 21:48:11 BRT 2024","Tue Apr 02 21:48:11 BRT 2024","152","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Tue Apr 02 21:48:27 BRT 2024","Tue Apr 02 21:48:27 BRT 2024","191","example to-do app","","","","","can check off an item as completed",""
"passed","Tue Apr 02 21:48:22 BRT 2024","Tue Apr 02 21:48:24 BRT 2024","1599","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Tue Apr 02 21:48:32 BRT 2024","Tue Apr 02 21:48:32 BRT 2024","189","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Tue Apr 02 21:49:21 BRT 2024","Tue Apr 02 21:49:21 BRT 2024","19","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Tue Apr 02 21:49:29 BRT 2024","Tue Apr 02 21:49:30 BRT 2024","119","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Tue Apr 02 21:49:06 BRT 2024","Tue Apr 02 21:49:07 BRT 2024","520","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Tue Apr 02 21:49:02 BRT 2024","Tue Apr 02 21:49:02 BRT 2024","542","Navigation","","","","","cy.reload() - reload the page",""
"passed","Tue Apr 02 21:49:29 BRT 2024","Tue Apr 02 21:49:29 BRT 2024","114","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Tue Apr 02 21:48:10 BRT 2024","Tue Apr 02 21:48:11 BRT 2024","854","Actions","","","","",".select() - select an option in a <select> element",""
"passed","Tue Apr 02 21:49:39 BRT 2024","Tue Apr 02 21:49:42 BRT 2024","3474","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Tue Apr 02 21:49:29 BRT 2024","Tue Apr 02 21:49:29 BRT 2024","116","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Tue Apr 02 21:48:04 BRT 2024","Tue Apr 02 21:48:05 BRT 2024","484","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Tue Apr 02 21:48:41 BRT 2024","Tue Apr 02 21:48:41 BRT 2024","175","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Tue Apr 02 21:48:32 BRT 2024","Tue Apr 02 21:48:32 BRT 2024","184","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Tue Apr 02 21:48:46 BRT 2024","Tue Apr 02 21:48:47 BRT 2024","307","Files","","","","","cy.readFile() - read file contents",""
"passed","Tue Apr 02 21:48:57 BRT 2024","Tue Apr 02 21:48:57 BRT 2024","198","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Tue Apr 02 21:48:27 BRT 2024","Tue Apr 02 21:48:27 BRT 2024","395","example to-do app","","","","","can add new todo items",""
"passed","Tue Apr 02 21:48:22 BRT 2024","Tue Apr 02 21:48:22 BRT 2024","116","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Tue Apr 02 21:48:16 BRT 2024","Tue Apr 02 21:48:17 BRT 2024","897","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Tue Apr 02 21:49:23 BRT 2024","Tue Apr 02 21:49:24 BRT 2024","887","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Tue Apr 02 21:48:42 BRT 2024","Tue Apr 02 21:48:42 BRT 2024","182","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Tue Apr 02 21:48:36 BRT 2024","Tue Apr 02 21:48:36 BRT 2024","287","Cookies","","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Tue Apr 02 21:48:40 BRT 2024","Tue Apr 02 21:48:41 BRT 2024","604","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Tue Apr 02 21:48:04 BRT 2024","Tue Apr 02 21:48:04 BRT 2024","458","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Tue Apr 02 21:49:08 BRT 2024","Tue Apr 02 21:49:10 BRT 2024","1536","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
"passed","Tue Apr 02 21:48:08 BRT 2024","Tue Apr 02 21:48:08 BRT 2024","397","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Tue Apr 02 21:49:17 BRT 2024","Tue Apr 02 21:49:17 BRT 2024","592","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Tue Apr 02 21:49:05 BRT 2024","Tue Apr 02 21:49:06 BRT 2024","1265","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Tue Apr 02 21:49:29 BRT 2024","Tue Apr 02 21:49:29 BRT 2024","103","Traversal","","","","",".last() - get last DOM element",""
"passed","Tue Apr 02 21:48:05 BRT 2024","Tue Apr 02 21:48:06 BRT 2024","431","Actions","","","","",".submit() - submit a form",""
"passed","Tue Apr 02 21:49:53 BRT 2024","Tue Apr 02 21:49:54 BRT 2024","548","Window","","","","","cy.window() - get the global window object",""
"passed","Tue Apr 02 21:49:35 BRT 2024","Tue Apr 02 21:49:35 BRT 2024","104","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Tue Apr 02 21:48:21 BRT 2024","Tue Apr 02 21:48:21 BRT 2024","810","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Tue Apr 02 21:48:41 BRT 2024","Tue Apr 02 21:48:41 BRT 2024","203","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Tue Apr 02 21:48:37 BRT 2024","Tue Apr 02 21:48:37 BRT 2024","126","Cookies","","","","","cy.setCookie() - set a browser cookie",""
"passed","Tue Apr 02 21:48:26 BRT 2024","Tue Apr 02 21:48:27 BRT 2024","477","example to-do app","","","","","displays two todo items by default",""
"passed","Tue Apr 02 21:49:29 BRT 2024","Tue Apr 02 21:49:29 BRT 2024","113","Traversal","","","","",".first() - get first DOM element",""
"passed","Tue Apr 02 21:47:59 BRT 2024","Tue Apr 02 21:48:04 BRT 2024","4417","Actions","","","","",".type() - type into a DOM element",""
"passed","Tue Apr 02 21:48:28 BRT 2024","Tue Apr 02 21:48:28 BRT 2024","266","example to-do app","with a checked task","","","","can filter for completed tasks",""
